ID,Suc_pra,Cen_jac,Achilea,Cirsium,Pim_sax,Ran_acr,Ran_fla,Ang_syl,Lat_pra,Plantago,Poaceae,Cre_bie,Her_sph,Lyc_eur,indet,Dau_car,Kna_arv,Lot_cor,Leo_his,Apiaceae,Tri_spp
24_11_8_Suc_B8_2,36,17,9,,,,,,,,,,,,8,,,,,,
24_11_8_Suc_B8_3,31,5,2,1,,,,,,,,,,,,,,,,,
24_11_8_Suc_B9_1,20,6,2,14,,,,,,,,,,,2,,,,,,
24_11_8_Suc_B9_2,40,4,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B9_3,1,3,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B10_1,31,15,5,,,,,,,,,1,,,,,,,,,
24_11_8_Suc_B10_2,27,6,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B10_3,12,2,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B11_1,19,5,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B11_2,30,2,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B11_3,11,,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B12_1,22,5,2,3,,,,,,,,,,,5,,,,,,
24_11_8_Suc_B12_2,30,4,1,,,,,,,,,,,,2,,,,,,
24_11_8_Suc_B12_3,31,9,2,1,,,,,,,,,,,,,,,,,
24_11_8_Suc_B13_1,62,4,3,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B13_2,43,5,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B13_3,34,3,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B14_1,39,11,11,,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B14_2,28,1,1,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B14_3,26,22,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B15_1,1,,,,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B15_2,18,13,1,1,,,3,,,,,,,,,,,,,,
24_11_8_Suc_B15_3,7,2,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B16_1,33,11,,1,,,,,,,,,,,,,,,,,
24_11_8_Suc_B16_2,30,8,2,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B16_3,30,13,2,1,,,,,,,,,1,,,1,,,,,
24_11_8_Suc_B17_1,45,3,,1,,,,,,,,,,,,,,,,,
24_11_8_Suc_B17_2,28,,1,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B17_3,40,9,3,,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B18_1,20,,2,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B18_2,56,3,1,,,,,,,,,,,,3,,,,,,
24_11_8_Suc_B18_3,43,6,1,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B19_1,82,,2,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B19_2,81,,1,,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B19_3,55,,1,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B20_1,8,7,2,1,,,1,,,,,,,,,,,,,,
24_11_8_Suc_B20_2,18,,3,1,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B20_3,11,1,,1,,,,,,,,,,,,,,,,,
24_11_8_Suc_B21_1,21,2,,1,,,,,,,,,,,,,,,,,
24_11_8_Suc_B21_2,18,,3,1,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B21_3,26,,1,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B22_1,16,3,4,,,,,,,,,,,,2,,,,,,
24_11_8_Suc_B22_2,29,5,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B22_3,13,1,2,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B23_1,10,,1,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B23_2,23,2,2,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B23_3,15,,,1,,,,,,,,,,,,,,,,,
24_11_8_Suc_B24_1,51,8,2,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B24_2,54,14,4,,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B24_3,51,5,3,3,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B25_1,55,4,1,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B25_2,39,4,,,,,,,,,1,,,,,,,,,,
24_11_8_Suc_B25_3,22,3,,1,,,,,,,,,,,,,,,,,
24_11_8_Suc_B26_1,78,3,1,,,,,,,,,,,,2,,,,,,
24_11_8_Suc_B26_2,57,1,,,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B26_3,45,1,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B27_1,37,15,4,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B27_2,51,10,2,2,,,,,,,,,,,2,,,,,,
24_11_8_Suc_B27_3,29,8,2,,,,,,,,,,,,2,,,,,,
24_11_8_Suc_B28_1,11,3,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B28_2,6,28,1,1,,,,,,,,,,,1,,,,,,
24_11_8_Suc_B28_3,13,,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B29_1,84,7,,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B29_3,48,3,1,,,,,,,,,,,,,,,,,,
24_11_8_Suc_B30_1,57,6,,,,1,,,,,,,,,,,,,,,
24_11_8_Suc_B30_2,37,8,,,,,,,,,,,,,,,,,,,
